"","NMFS.Tracking.Number","Common.Name","Population.Name","NMFS.Final.Determination..Species.","NMFS.Final.Determination..Critical.Habitat."
"182","WCR-2015-2607","Steelhead","Upper Columbia River DPS","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"183","WCR-2015-2607","Steelhead","Snake River Basin DPS","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"184","WCR-2015-2607","Steelhead","Middle Columbia River DPS","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"185","WCR-2015-2607","Salmon, sockeye","Snake River ESU","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"186","WCR-2015-2693","Salmon, Chinook","Puget Sound ESU","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"187","WCR-2015-2772","Steelhead","Snake River Basin DPS","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"188","WCR-2015-2777","Salmon, Chinook","Puget Sound ESU","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"189","WCR-2015-3118","Salmon, Chinook","Central Valley spring-run ESU","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"190","WCR-2015-3118","Salmon, Chinook","Sacramento River winter-run ESU","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"191","WCR-2015-3118","Steelhead","California Central Valley DPS","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"192","WCR-2015-3213","Sturgeon, green","","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"193","WCR-2015-3213","Steelhead","California Central Valley DPS","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"194","WCR-2015-3213","Salmon, Chinook","Sacramento River winter-run ESU","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"195","WCR-2015-3441","Steelhead","Puget Sound DPS","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"196","WCR-2015-3441","Salmon, Chinook","Puget Sound ESU","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"197","WCR-2015-3514","Salmon, Chinook","","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"198","WCR-2015-3639","Salmon, Chinook","Central Valley spring-run ESU","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"199","WCR-2015-3639","Salmon, Chinook","Sacramento River winter-run ESU","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"200","WCR-2015-3639","Steelhead","California Central Valley DPS","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"201","WCR-2015-3639","Sturgeon, green","","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"202","WCR-2015-3759","Steelhead","Southern California DPS","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"203","WCR-2015-3817","Salmon, Chinook","Puget Sound ESU","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"204","WCR-2015-3838","Salmon, coho","Lower Columbia River ESU","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"205","WCR-2015-3845","Salmon, Chinook","Upper Columbia River spring-run ESU","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"206","WCR-2015-3845","Steelhead","Upper Columbia River DPS","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"207","WCR-2016-3936","Salmon, coho","Lower Columbia River ESU","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"208","WCR-2016-3936","Salmon, sockeye","Snake River ESU","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"209","WCR-2016-3954","Salmon, Chinook","Puget Sound ESU","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"210","WCR-2016-3985","Salmon, Chinook","Lower Columbia River ESU","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"211","WCR-2016-4418","Steelhead","Puget Sound DPS","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"212","WCR-2016-4418","Salmon, Chinook","Puget Sound ESU","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"213","WCR-2016-4418","Rockfish, canary","Puget Sound/Georgia Basin DPS","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"214","WCR-2016-4418","Bocaccio","Puget Sound/Georgia Basin DPS","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"215","WCR-2016-4418","Whale, killer","Southern Resident","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"216","WCR-2016-4675","Steelhead","Puget Sound DPS","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"217","WCR-2016-4675","Salmon, Chinook","Puget Sound ESU","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"218","WCR-2016-4825","Salmon, Chinook","Lower Columbia River ESU","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"219","WCR-2016-4900","Salmon, Chinook","Central Valley spring-run ESU","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"220","WCR-2016-4900","Salmon, Chinook","Sacramento River winter-run ESU","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"221","WCR-2016-4900","Steelhead","California Central Valley DPS","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"222","WCR-2016-4914","Whale, killer","Southern Resident","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"223","WCR-2016-4914","Salmon, Chinook","Puget Sound ESU","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"224","WCR-2016-4914","Steelhead","Puget Sound DPS","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"225","WCR-2016-5175","Steelhead","Middle Columbia River DPS","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"226","WCR-2016-5265","Salmon, Chinook","Central Valley spring-run ESU","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"227","WCR-2016-5800","Eulachon","Southern DPS","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"228","WCR-2016-5800","Salmon, Chinook","Puget Sound ESU","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"229","WCR-2016-5800","Salmon, chum","Hood Canal summer-run ESU","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"230","WCR-2016-5800","Steelhead","Puget Sound DPS","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"231","WCR-2016-5949","Salmon, chum","Hood Canal summer-run ESU","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"232","WCR-2016-5949","Salmon, sockeye","Ozette Lake ESU","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"233","WCR-2016-5949","Steelhead","Puget Sound DPS","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"234","WCR-2016-5949","Eulachon","","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"235","WCR-2016-5949","Salmon, Chinook","Puget Sound ESU","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"236","WCR-2016-5993","Whale, killer","Southern Resident","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
"237","WCR-2016-6015","Steelhead","California Central Valley DPS","No Jeopardy, No Adverse Mod","May Affect - Not Likely to Adversely Affect"
