,NMFS.Tracking.Number,count
478,SWR-2007-7794,2
479,SWR-2007-7795,2
480,SWR-2007-7796,2
481,SWR-2007-7876,2
482,SWR-2007-789,2
483,SWR-2007-8411,2
484,SWR-2007-850,2
485,SWR-2007-8980,2
486,SWR-2007-9132,2
487,SWR-2007-9216,2
488,SWR-2007-9222,2
489,SWR-2007-9223,2
490,SWR-2007-9231,2
491,SWR-2007-9235,2
492,SWR-2007-9236,2
493,SWR-2007-9250,2
494,SWR-2007-9251,2
495,SWR-2007-9252,2
496,SWR-2007-9256,2
497,SWR-2007-9258,2
498,SWR-2008-1511,2
499,SWR-2008-1516,2
500,SWR-2008-1826,2
501,SWR-2008-1827,2
502,SWR-2008-1828,2
503,SWR-2008-1921,2
504,SWR-2008-1922,2
505,SWR-2008-1988,2
506,SWR-2008-2008,2
507,SWR-2008-2122,2
508,SWR-2008-2123,2
509,SWR-2008-2290,2
510,SWR-2008-230,2
511,SWR-2008-2426,2
512,SWR-2008-2447,2
513,SWR-2008-2657,2
514,SWR-2008-2687,2
515,SWR-2008-2713,2
516,SWR-2008-2800,2
517,SWR-2008-2955,2
518,SWR-2008-2993,2
519,SWR-2008-3019,2
520,SWR-2008-3051,2
521,SWR-2008-3271,2
522,SWR-2008-3357,2
523,SWR-2008-3387,2
524,SWR-2008-3389,2
525,SWR-2008-3390,2
526,SWR-2008-3394,2
527,SWR-2008-3408,2
528,SWR-2008-3459,2
529,SWR-2008-3646,2
530,SWR-2008-3648,2
531,SWR-2008-3696,2
532,SWR-2008-3831,2
533,SWR-2008-3933,2
534,SWR-2008-3942,2
535,SWR-2008-395,2
536,SWR-2008-396,2
537,SWR-2008-397,2
538,SWR-2008-3971,2
539,SWR-2008-3988,2
540,SWR-2008-401,2
541,SWR-2008-402,2
542,SWR-2008-405,2
543,SWR-2008-4445,2
544,SWR-2008-4488,2
545,SWR-2008-4490,2
546,SWR-2008-4571,2
547,SWR-2008-4682,2
548,SWR-2008-4690,2
549,SWR-2008-474,2
550,SWR-2008-4779,2
551,SWR-2008-4780,2
552,SWR-2008-4803,2
553,SWR-2008-4922,2
554,SWR-2008-4932,2
555,SWR-2008-5033,2
556,SWR-2008-5197,2
557,SWR-2008-5218,2
558,SWR-2008-5348,2
559,SWR-2008-5351,2
560,SWR-2008-5363,2
561,SWR-2008-5435,2
562,SWR-2008-550,2
563,SWR-2008-5505,2
564,SWR-2008-5506,2
565,SWR-2008-555,2
566,SWR-2008-5629,2
567,SWR-2008-564,2
568,SWR-2008-6054,2
569,SWR-2008-6113,2
570,SWR-2008-619,2
571,SWR-2008-6280,2
572,SWR-2008-6350,2
573,SWR-2008-6351,2
574,SWR-2008-6378,2
575,SWR-2008-6379,2
576,SWR-2008-6394,2
577,SWR-2008-647,2
578,SWR-2008-6487,2
579,SWR-2008-6655,2
580,SWR-2008-6675,2
581,SWR-2008-6678,2
582,SWR-2008-6680,2
583,SWR-2008-686,2
584,SWR-2008-6865,2
585,SWR-2008-6977,2
586,SWR-2008-7048,2
587,SWR-2008-7070,2
588,SWR-2008-7097,2
589,SWR-2008-7108,2
590,SWR-2008-7130,2
591,SWR-2008-720,2
592,SWR-2008-7211,2
593,SWR-2008-7235,2
594,SWR-2008-7327,2
595,SWR-2008-7364,2
596,SWR-2008-7370,2
597,SWR-2008-7386,2
598,SWR-2008-7389,2
599,SWR-2008-7553,2
600,SWR-2008-7554,2
601,SWR-2008-7555,2
602,SWR-2008-7756,2
603,SWR-2008-7761,2
604,SWR-2008-7762,2
605,SWR-2008-796,2
606,SWR-2008-8035,2
607,SWR-2008-8105,2
608,SWR-2008-8107,2
609,SWR-2008-8262,2
610,SWR-2008-8338,2
611,SWR-2008-8340,2
612,SWR-2008-8349,2
613,SWR-2008-8696,2
614,SWR-2008-8713,2
615,SWR-2008-8714,2
616,SWR-2008-8853,2
617,SWR-2008-9025,2
618,SWR-2008-9048,2
619,SWR-2008-9136,2
620,SWR-2008-9137,2
621,SWR-2008-9164,2
622,SWR-2008-958,2
623,SWR-2008-990,2
624,SWR-2009-1054,2
625,SWR-2009-1069,2
626,SWR-2009-145,2
627,SWR-2009-1528,2
628,SWR-2009-160,2
629,SWR-2009-1633,2
630,SWR-2009-1634,2
631,SWR-2009-1638,2
632,SWR-2009-1706,2
633,SWR-2009-1707,2
634,SWR-2009-1708,2
635,SWR-2009-1731,2
636,SWR-2009-174,2
637,SWR-2009-1755,2
638,SWR-2009-176,2
639,SWR-2009-1891,2
640,SWR-2009-1905,2
641,SWR-2009-1910,2
642,SWR-2009-1912,2
643,SWR-2009-1995,2
644,SWR-2009-1996,2
645,SWR-2009-1997,2
646,SWR-2009-1998,2
647,SWR-2009-2089,2
648,SWR-2009-2093,2
649,SWR-2009-2096,2
650,SWR-2009-2098,2
651,SWR-2009-2278,2
652,SWR-2009-2279,2
653,SWR-2009-2369,2
654,SWR-2009-2376,2
655,SWR-2009-2390,2
656,SWR-2009-2567,2
657,SWR-2009-2568,2
658,SWR-2009-2569,2
659,SWR-2009-2623,2
660,SWR-2009-2635,2
661,SWR-2009-2637,2
662,SWR-2009-2812,2
663,SWR-2009-2813,2
664,SWR-2009-2814,2
665,SWR-2009-282,2
666,SWR-2009-2820,2
667,SWR-2009-2824,2
668,SWR-2009-2825,2
669,SWR-2009-2828,2
670,SWR-2009-2830,2
671,SWR-2009-2834,2
672,SWR-2009-2837,2
673,SWR-2009-2866,2
674,SWR-2009-2882,2
675,SWR-2009-2960,2
676,SWR-2009-2961,2
677,SWR-2009-2992,2
678,SWR-2009-2994,2
679,SWR-2009-31,2
680,SWR-2009-3142,2
681,SWR-2009-3181,2
682,SWR-2009-3305,2
683,SWR-2009-3378,2
684,SWR-2009-362,2
685,SWR-2009-367,2
686,SWR-2009-369,2
687,SWR-2009-3871,2
688,SWR-2009-3874,2
689,SWR-2009-3875,2
690,SWR-2009-3911,2
691,SWR-2009-3940,2
692,SWR-2009-3948,2
693,SWR-2009-3949,2
694,SWR-2009-4095,2
695,SWR-2009-4096,2
696,SWR-2009-419,2
697,SWR-2009-420,2
698,SWR-2009-4241,2
699,SWR-2009-4245,2
700,SWR-2009-4246,2
701,SWR-2009-4249,2
702,SWR-2009-4250,2
703,SWR-2009-4279,2
704,SWR-2009-4390,2
705,SWR-2009-4391,2
706,SWR-2009-4392,2
707,SWR-2009-4393,2
708,SWR-2009-4394,2
709,SWR-2009-441,2
710,SWR-2009-442,2
711,SWR-2009-4521,2
712,SWR-2009-4552,2
713,SWR-2009-4578,2
714,SWR-2009-4619,2
